id,produto,funcionarios,vendas,clientes,preco,estoque
616,"Nut - Pecan, Pieces",York O'Carran,$83.38,Lydon Anyon,$520.72,705
617,"Yeast - Fresh, Fleischman",Guntar Deware,$666.24,Reba Rimer,$144.86,152
618,Extract - Lemon,Rosetta Bows,$706.35,Maryanna Irnys,$68.95,349
619,"Mushroom - Morels, Dry",Fiona Saphin,$625.20,Arnold Haws,$535.39,889
620,Glaze - Apricot,Wayland Iacavone,$428.15,Skip Antoniewski,$629.80,981
621,"Veal - Inside, Choice",Davidson Coath,$30.09,Godart Coulston,$271.12,152
622,Wine - Blue Nun Qualitatswein,Torey Dooher,$842.58,Jed Conman,$940.92,850
623,"Bread - Rolls, Rye",Alix Askey,$732.96,Caesar Eddins,$209.21,26
624,"Cheese - Woolwich Goat, Log",Ryan Mounch,$735.41,Lindi Ruppertz,$117.24,934
625,Potatoes - Parissienne,Lyssa Edlin,$890.97,Pauli Sambidge,$672.09,36
626,Toothpick Frilled,Orelia McCluney,$844.21,Borden Kintish,$11.24,518
627,Apricots - Dried,Alvie Burdell,$279.05,Natasha Janiszewski,$989.45,87
628,Pork - Inside,Gusty Shrimplin,$454.23,Phebe Woodhouse,$334.19,888
629,Bagel - Plain,Anton MacPaden,$798.81,Roz Scandrett,$590.55,555
630,Petite Baguette,Carver Offin,$221.35,Artus Swinn,$564.39,986
631,Mangoes,Samuele Everard,$371.31,Orelee Sweedland,$355.24,937
632,Pastry - Choclate Baked,Lonnie Doyley,$915.99,Rand Billett,$381.36,270
633,"Schnappes - Peach, Walkers",Jacynth Gue,$98.78,Janet O'Sesnane,$149.90,505
634,"Beef - Rouladin, Sliced",Grazia Lilburn,$136.29,Berta Inskipp,$804.42,868
635,Sobe - Lizard Fuel,Avictor Moakes,$793.52,Allx Revey,$464.59,393
636,"Doilies - 10, Paper",Rubi Graveston,$246.65,Susannah Paulillo,$948.05,81
637,Vanilla Beans,Ilise Androsik,$911.70,Dom Cotty,$766.85,669
638,Wine - Conde De Valdemar,Corbet Bricksey,$718.99,Blinni Elion,$501.87,296
639,Coffee - Decafenated,Adolphus Threadgill,$810.93,Ashlen Glascott,$600.14,966
640,Rhubarb,Oralla Grinyov,$945.19,Jacquie Simla,$591.79,848
641,"Wine - White, Lindemans Bin 95",Drud Beaman,$680.16,Romona Carrol,$115.90,677
642,"Pepper - White, Ground",Sanson Tallon,$553.06,Robena Hobben,$66.49,333
643,Lemons,Thaine Severn,$28.37,Oralia Moohan,$558.24,109
644,Wine - Jafflin Bourgongone,Analiese Bertouloume,$139.35,Bowie Sturror,$209.96,69
645,Apple - Northern Spy,Ethelred Gilders,$233.83,Neddy Fuente,$144.21,80
646,"Wine - White, Schroder And Schyl",Velvet Merington,$670.10,Holmes Lefwich,$799.54,191
647,"Stock - Beef, Brown",Cooper Jeandet,$482.92,Norene Hemerijk,$245.16,514
648,Pastry - Mini French Pastries,Karly Pickersail,$819.07,Geoff Newark,$755.37,470
649,Cake - Mini Cheesecake,Kacy Berney,$95.71,Arnie Rickett,$724.58,243
650,Soup Campbells Split Pea And Ham,Rosamond Quigley,$301.40,Nolly Milne,$81.72,177
651,Beer - Blue Light,Marj Bramsen,$973.64,Francisco Hardwick,$104.77,305
652,Wine - Sake,Marc Cornthwaite,$411.99,Lorie Gready,$596.10,111
653,V8 Splash Strawberry Kiwi,Terese McNeillie,$197.73,Chantalle Lodemann,$964.37,694
654,Towels - Paper / Kraft,Monte Du Plantier,$373.18,Karita MacDermand,$900.27,349
655,Nantuket Peach Orange,Trixie Chave,$551.47,Kit Vankin,$88.39,490
656,Wine - Bouchard La Vignee Pinot,Maressa Ives,$737.74,Silvie Lidgley,$530.02,276
657,Juice - Orange 1.89l,Filip Hanlon,$586.93,Leyla Lehmann,$10.63,933
658,Beer - Moosehead,Alastair Stokey,$183.84,Madelena Greenhouse,$374.03,422
659,Bagels Poppyseed,Hettie Doram,$695.23,Min Fozard,$17.05,62
660,"Beef - Roasted, Cooked",Berget Jammet,$100.98,Hillier Kmiec,$207.15,939
661,Pear - Prickly,Kayley Noads,$412.81,Del Myford,$470.38,894
662,Chutney Sauce - Mango,Nikaniki Borghese,$348.60,Meggy Domenc,$616.28,249
663,"Veal - Inside Round / Top, Lean",Nikki Erni,$516.33,Shep Bailey,$295.13,508
664,"Juice - V8, Tomato",Reggie Luxford,$674.96,Darren Presnail,$21.29,697
665,"Pineapple - Canned, Rings",Templeton Mulroy,$8.77,Chantal Petti,$634.27,93
666,"Yogurt - Raspberry, 175 Gr",Cleveland Ellicott,$605.24,Burl Tidder,$449.31,254
667,Soup - Tomato Mush. Florentine,Laraine Korejs,$223.54,Zacharias Standring,$841.27,127
668,"Tart Shells - Sweet, 4",Caprice Kohrs,$748.54,Faina Roome,$96.81,663
669,Liqueur - Melon,Borg Girault,$677.08,Elaine Dugue,$844.76,303
670,Appetizer - Lobster Phyllo Roll,Jody Jedraszczyk,$356.49,Richie Rouch,$863.18,582
671,Cornish Hen,Barret Stefi,$700.00,Rosemary Letterick,$960.14,241
672,"Juice - Pineapple, 48 Oz",Ross Pirt,$972.15,Cory Primmer,$719.29,14
673,Beets - Pickled,Leopold Colquhoun,$418.86,Pall Vagges,$102.07,334
674,Wine - Ej Gallo Sierra Valley,Murry Saby,$705.79,Gert Kupke,$546.20,606
675,"Shrimp - 16/20, Iqf, Shell On",Nicol Forcade,$448.86,Yvon Kerne,$5.43,644
676,Beans - Fine,Kiel Algate,$519.92,Renee Harford,$656.14,637
677,Towels - Paper / Kraft,Germaine Greschik,$917.15,Janina Gutridge,$51.49,288
678,Black Currants,Leanor Americi,$948.04,Fionna Colebrook,$590.04,817
679,Wine - Taylors Reserve,Sibeal Daniele,$375.65,Blanca Adshede,$176.78,244
680,Cheese - Pont Couvert,Lance Bennell,$662.90,Margy MacAleese,$196.04,385
681,Eggs - Extra Large,Rodie Picot,$527.76,Linnet Kyncl,$757.11,166
682,Oil - Olive,Brigid Dorrance,$734.69,Bailey Yukhnin,$296.84,79
683,Dc Hikiage Hira Huba,Louella Gerbel,$879.94,Georg Dibley,$903.52,144
684,Sobe - Cranberry Grapefruit,Emery Jory,$74.83,Stafani Durtnall,$706.19,350
685,Table Cloth 90x90 White,Vail Bertolin,$462.72,Nissy Gullefant,$75.14,906
686,Potatoes - Peeled,Jacki Riordan,$924.42,Hadrian Vowdon,$987.08,76
687,Wine - Barolo Fontanafredda,Daveta Riveles,$713.82,Colene Davidde,$866.80,784
688,Extract - Lemon,Olympe Antonich,$903.42,Malva Gonsalvo,$190.83,664
689,Wine - Coteaux Du Tricastin Ac,Birch Hadley,$636.59,Torrance Lauritzen,$793.24,607
690,Tea - Decaf 1 Cup,Aleta McOwen,$131.37,Danella Gumbrell,$226.65,509
691,Trueblue - Blueberry Cranberry,Esdras Waskett,$670.21,Allard Carnew,$187.34,376
692,Onions Granulated,Kelcy Hainsworth,$73.93,Auria Brockie,$753.12,469
693,Cheese - Mix,Kissie Davydzenko,$984.97,Sergent Mogra,$78.86,433
694,Wine - Merlot Vina Carmen,Lexis Topling,$81.19,Stafani Ranklin,$621.71,651
695,"Brownies - Two Bite, Chocolate",Andreas Hufton,$900.74,Gunar Bendelow,$151.97,608
696,Chocolate Bar - Smarties,Daryle Lafay,$922.57,Wain Devey,$949.05,472
697,Longos - Burritos,Rich Blose,$106.41,Joycelin Handford,$763.90,307
698,Bread - Pain Au Liat X12,Meara Stevings,$45.73,Irvine Badcock,$13.46,163
699,Petite Baguette,Reinwald Prynne,$845.32,Bald Hullin,$39.85,364
700,Shiro Miso,Vale Chamney,$601.48,Franky Barbrick,$809.71,423
701,Beer - Paulaner Hefeweisse,Benetta Aucock,$239.40,Lek Boundley,$367.37,432
702,"Wine - Magnotta, Merlot Sr Vqa",Anders Mackiewicz,$813.29,Stanley MacMenamie,$314.39,943
703,Beef - Ox Tongue,Phyllys Riping,$984.87,Robinet Itzkov,$72.44,134
704,Silicone Parch. 16.3x24.3,Ericha Barwell,$133.72,Der Licciardo,$451.70,388
705,"Oranges - Navel, 72",Cordy Stammler,$965.84,Timoteo Sunnucks,$641.12,445
706,Shrimp - Tiger 21/25,Townie Curuclis,$416.78,Paddy Older,$664.83,342
707,"Bag - Bread, White, Plain",Dre Wisbey,$254.34,Sherm Clubley,$608.49,299
708,Muffin Chocolate Individual Wrap,Marlena Rowcastle,$823.21,Mufi Sandeford,$94.38,607
709,Wine - Magnotta - Pinot Gris Sr,Rhys Lanceter,$94.99,Farand Habgood,$258.82,359
710,Brandy - Bar,Cello Argrave,$411.24,Rozamond Frossell,$195.21,735
711,Paper Towel Touchless,Fina Holton,$519.14,Sonnie Toomey,$775.23,544
712,Juice - Lime,Aurora Francie,$39.47,Fleur Linzee,$877.90,188
713,Toothpick Frilled,Berta Bent,$384.80,Willey Dunan,$714.45,359
714,"Bread - Rolls, Corn",Abbott Horlick,$880.96,Milicent Dumbrill,$779.28,612
715,Island Oasis - Raspberry,Gearalt Hebbron,$230.29,Jessalin Willavoys,$769.37,28
716,Cheese - Goat With Herbs,Ailina Ganter,$565.16,Madelyn Alyoshin,$659.77,849
717,Propel Sport Drink,Nikolos Itzcovichch,$344.62,Adriano Elfes,$411.57,659
718,Huck White Towels,Cassandra Clifford,$221.48,Annamarie Sibylla,$813.49,753
719,Water - Green Tea Refresher,Blondy Bassingden,$183.94,Isa Dakin,$816.62,835
720,"Lamb - Whole, Fresh",Humberto Rubenov,$491.89,Inger Cranstoun,$261.05,431
721,Pork Loin Cutlets,Cassandra Pringour,$806.78,Sheelah Slayton,$73.80,132
722,Eggwhite Frozen,Luke Message,$338.96,Arlyn Geindre,$549.83,491
723,Chocolate - Liqueur Cups With Foil,Clarey Giggie,$737.43,Corbet Kermode,$189.74,554
724,Bread - Crusty Italian Poly,Frankie Lerego,$24.07,Orville Shilladay,$914.35,660
725,Beer - Paulaner Hefeweisse,Christal Cluse,$913.91,Brok Storkes,$30.69,49
726,Ocean Spray - Kiwi Strawberry,Francisco Lefridge,$432.00,Corny Ephson,$445.12,747
727,"Crab - Dungeness, Whole, live",Prudi Jursch,$472.95,Richart Rosendall,$182.64,891
728,Pickerel - Fillets,Olvan Eccleshare,$50.72,Kristel Madgin,$787.69,571
729,Wine - Bouchard La Vignee Pinot,Teador Cases,$169.13,Eb MacComiskey,$384.38,966
730,Lamb - Bones,Alysa Curcher,$283.55,Hillie Whyler,$946.64,755
731,"Arctic Char - Fresh, Whole",Edna Riddell,$412.97,Laurene Saxby,$730.18,456
732,Liquid Aminios Acid - Braggs,Fidelia Zanre,$682.18,Evangelia Felmingham,$442.13,488
733,Plasticforkblack,Tadd Luckwell,$360.74,Ollie Espinoza,$273.80,693
734,Pepper - Cayenne,Michaelina Farlam,$551.01,Friedrich Paik,$295.05,333
735,Bread Sour Rolls,Nari Higgen,$228.27,Camala Massei,$687.26,592
736,"Shrimp - 16/20, Iqf, Shell On",Tarrance Murr,$626.89,Kaylil Tipling,$889.43,337
737,Wine - Baron De Rothschild,Cary Patriche,$282.51,Marsiella Randalson,$204.45,252
738,Wine - Sawmill Creek Autumn,Zebadiah Abbis,$432.57,Richard Tryme,$58.10,945
739,Ham - Procutinni,Ronny Brower,$209.69,Franny Kirtley,$816.12,334
740,"Lamb - Whole, Fresh",Lanny Jevons,$269.48,Ealasaid O'Daly,$588.30,82
741,Chervil - Fresh,Cindra Ellson,$364.26,Rheba Quarless,$938.16,422
742,Napkin White,Victoria Blackhurst,$513.94,Gertrudis Coulston,$584.98,451
743,Garlic,Ammamaria Francesco,$585.80,Franni Bilbery,$583.30,809
744,Sausage - Blood Pudding,Shaw Tomaini,$368.51,Janet Mateja,$984.70,817
745,Pepper - Orange,Muffin Mitham,$559.63,Norine Howell,$752.70,454
746,Wine - Ruffino Chianti Classico,Natty Twelftree,$774.68,Dallis Simkovitz,$819.86,912
747,Fennel,Rickey Chilcotte,$166.92,Sax Crewe,$634.06,756
748,Table Cloth 54x54 White,Mellie Potticary,$652.84,Osborne MacNeill,$490.01,709
749,Chips - Miss Vickies,Lauren Gunny,$532.67,Lauren Yabsley,$305.63,722
750,Chips - Potato Jalapeno,Taddeo Goldstraw,$102.29,Bernadene Le Estut,$22.94,403
751,Muffin Puck Ww Carrot,Mitchell Moukes,$982.59,Virginie Rhyme,$379.57,123
752,Garam Marsala,Jacquelyn Sybe,$718.65,Dollie MacLennan,$606.96,529
753,"Pasta - Bauletti, Chicken White",Kacy Murt,$611.59,Nataline Coulton,$603.29,504
754,Tomato - Plum With Basil,Paddy Hyams,$544.74,Joline Shacklady,$472.21,335
755,Pernod,Johnathan Janczewski,$357.57,Ahmed Jenk,$699.02,33
756,Daikon Radish,Adrianne Matussow,$323.18,Alonso Bloys,$458.07,994
757,"Cheese - Brie, Triple Creme",Mela Nel,$470.73,Ronica Blincoe,$970.01,371
758,Waffle Stix,Zared Shrimpling,$380.31,Damiano Godfery,$276.63,861
759,Soup Campbells - Tomato Bisque,Roarke Gutridge,$727.01,Adara Juara,$538.35,975
760,Apricots - Dried,Terrel Rothchild,$291.66,Eda Scardifeild,$541.51,494
761,"Chicken - Wings, Tip Off",Byron Dimbleby,$901.37,Arri Fullwood,$586.53,525
762,"Wine - White, Chardonnay",Gay Corrado,$757.75,Rudolph Drynan,$99.98,942
763,Ham Black Forest,Ilse Whitby,$747.63,Leonard Mc Mechan,$668.98,97
764,Praline Paste,Amalle Bezzant,$505.32,Kaylee De Haven,$886.89,291
765,Parsnip,Brittney Brockest,$700.89,Bobby M'Quharg,$383.42,324
766,Chef Hat 20cm,Brietta Cowan,$496.68,Sabrina Dukes,$532.36,153
767,Radish - Pickled,Fianna Reace,$500.04,Clywd Fifoot,$964.24,432
768,Eggs - Extra Large,Hugibert Sandes,$430.52,Margit Meiner,$212.98,760
769,Food Colouring - Blue,Fonz Tremayle,$890.47,Rozanna Huetson,$653.47,857
770,Lamb - Shoulder,Ansley Patton,$246.59,Charlie Peverell,$701.07,230
771,Ham - Cooked Italian,Linn Lusty,$995.86,Symon Passingham,$86.95,52
772,Bread - French Stick,Wade Local,$118.44,Gertruda Wilshire,$206.65,622
773,Ezy Change Mophandle,Ludovika Jowers,$479.58,Giana De Roberto,$591.78,682
774,Chervil - Fresh,Dukey Eakley,$359.90,Linn McKnockiter,$981.13,210
775,Mushroom - Morel Frozen,Jermaine Marchiso,$335.51,Adolphe Bellam,$181.85,497
776,Coffee Cup 12oz 5342cd,Twila Simeonov,$280.29,Dal La Vigne,$938.94,450
777,"Lamb - Whole, Frozen",Loralee Arnke,$935.13,Deb Risom,$292.48,428
778,Cranberries - Frozen,Bud Brotherhood,$207.55,Oran Ellissen,$124.43,164
779,Soup - Campbells Bean Medley,Anne-corinne Beningfield,$661.39,Nye Skellen,$195.43,914
780,Cleaner - Pine Sol,Rockey Milmore,$143.24,Feodora Turri,$273.12,910
781,"Turnip - White, Organic",Clarice Armsby,$846.94,Ettore Finlry,$810.84,356
782,Pears - Anjou,Chickie Coare,$713.79,Roscoe Broader,$950.06,437
783,"Red Snapper - Fresh, Whole",Reinald Banes,$755.69,Rikki Preshaw,$128.40,424
784,Corn - Mini,Brett Moretto,$121.57,Mac Pafford,$166.21,498
785,Wine - Magnotta - Bel Paese White,Liz Maling,$57.28,Gates Rubega,$525.77,65
786,"Shrimp - Baby, Cold Water",Tully Plott,$652.85,Hall Birkhead,$883.60,91
787,Veal - Leg,Shannan Abrahart,$28.85,Mellisa Kless,$133.13,658
788,Lamb - Whole Head Off,Aloysia Dietz,$451.79,Pammy Gourlie,$757.71,369
789,Rhubarb,Lorne Bridgwater,$354.28,Forester Giacopello,$43.87,414
790,"Wine - Red, Metus Rose",Georgiana Tingley,$943.00,Salmon Hammell,$546.38,948
791,Beef - Montreal Smoked Brisket,Fields Cowperthwaite,$983.97,Myrtia Lemmertz,$968.50,589
792,Cinnamon Buns Sticky,Deina Blewis,$382.09,Mirabel Blinkhorn,$835.79,65
793,Broom And Brush Rack Black,Shurwood Reddick,$727.72,Cleavland Saggs,$553.16,238
794,"Beef - Bones, Marrow",Moina Fentem,$241.36,Hollis Dickson,$603.00,521
795,Samosa - Veg,Ezri Baum,$353.31,Norbie Dymond,$216.86,732
796,Beer - Pilsner Urquell,Blakeley Wolstencroft,$160.92,Hank Reyson,$928.38,657
797,Bar Energy Chocchip,Nehemiah Stutard,$213.45,Chelsy Daughtrey,$18.85,158
798,"Beef - Tongue, Cooked",Wallis Rubery,$959.63,Gordan Chevis,$710.75,386
799,Lychee - Canned,Lidia Mitie,$928.42,Hali Norwich,$33.11,466
800,Long Island Ice Tea,Wyndham Dechelle,$314.45,Layney Ganing,$348.59,606
801,Sobe - Orange Carrot,Odie Stote,$380.07,Carling Ivens,$146.81,46
802,Lid - 0090 Clear,Michele Costar,$383.03,Mirelle Levinge,$703.59,903
803,Ginger - Crystalized,Archie Dyble,$705.20,Frayda Sanderson,$312.89,777
804,"Red Snapper - Fillet, Skin On",Muffin Palleske,$278.30,Minny Diter,$445.70,994
805,Tart - Pecan Butter Squares,Tiffani Perocci,$323.87,Martina Seydlitz,$337.31,461
806,Pastry - Chocolate Marble Tea,Christoforo Christofides,$908.61,Lurline Finlayson,$314.91,512
807,Bread - White Mini Epi,Jeannine Martinovsky,$782.26,Etta Sauvage,$813.45,41
808,Muffin Batt - Choc Chk,Fara Sare,$776.08,Hussein Chamberlain,$549.43,923
809,Alize Sunset,Ely Leppo,$799.50,Broderic Moorton,$390.66,443
810,Bread Base - Toscano,Emilee Cocke,$882.48,Veradis Collishaw,$151.77,639
811,Pork - Suckling Pig,Catlaina Whitlock,$232.00,Benjamen Hollier,$283.23,4
812,Filling - Mince Meat,Lindsey Bullas,$191.99,Berrie Skelton,$604.08,900
813,Soup - Campbells Chili Veg,Webb De Beauchamp,$720.80,Candis Ebbetts,$4.87,119
814,"Beef - Cooked, Corned",Maurits Floyed,$670.14,Glyn Menere,$573.12,76
815,Muffins - Assorted,Austen Tarbath,$912.82,Chickie Everist,$825.55,214
816,"Bread - White, Sliced",Lorette Dartan,$19.56,Lyell MacPhee,$584.39,502
817,Apples - Sliced / Wedge,Florenza Claffey,$643.63,Che Boake,$587.61,435
818,Cheese - Brick With Pepper,Pieter Ferrero,$471.59,Cheryl Pargent,$536.92,203
819,Cake - Mini Cheesecake,Annie Dewey,$217.70,Morly Gierok,$264.83,605
820,Syrup - Monin - Passion Fruit,Iago Windley,$987.32,Giacinta Barnish,$113.43,60
821,Snapple Raspberry Tea,Daven Edlestone,$512.56,Faunie Maseres,$143.32,510
822,Soup - Campbells Pasta Fagioli,Ichabod Riggert,$264.78,Zonnya Stodart,$20.90,566
823,Ocean Spray - Kiwi Strawberry,Averell Studders,$825.76,Ringo Towse,$305.53,485
824,Ice Cream - Turtles Stick Bar,Vidovik Batterton,$795.58,Osmond Helin,$277.31,728
825,Oil - Coconut,Marilin Channer,$272.39,Janith Ewens,$42.89,142
826,Monkfish Fresh - Skin Off,Konrad Vankeev,$566.86,Hermina Shobbrook,$765.49,359
827,Appetizer - Tarragon Chicken,Vito Fencott,$497.95,Patsy Lalonde,$765.73,159
828,Table Cloth 120 Round White,Mara Marushak,$674.89,Dania Bellingham,$890.87,818
829,Curry Powder Madras,Zulema Wailes,$359.89,Tabatha Hickford,$208.52,379
830,Sage - Fresh,Bill Alfwy,$626.78,Morgen Cubbit,$813.57,454
831,Olives - Morracan Dired,Lilian Plaid,$716.26,Lorry Battisson,$459.44,154
832,Arrowroot,Lela Pepis,$765.33,Collie Mardoll,$161.80,242
833,"Wine - Harrow Estates, Vidal",Gale Teese,$351.04,Bartholomeus Pinckstone,$805.25,365
834,Muffin Mix - Corn Harvest,Jozef Shorton,$268.84,Adolpho Pacitti,$435.37,455
835,Wine - Shiraz South Eastern,Zabrina Nilges,$711.88,Vida Gildea,$836.34,725
836,Oysters - Smoked,Carmelle Witnall,$726.54,Westbrooke Wharfe,$96.63,603
837,Bar - Sweet And Salty Chocolate,Trixi Layborn,$495.88,Wolfy Bowgen,$899.50,162
838,"Star Anise, Whole",Peterus Hankey,$708.54,Ortensia Meffin,$488.81,469
839,"Beef - Bones, Marrow",Winthrop Carff,$755.24,Kass Bahlmann,$37.15,946
840,Salmon Steak - Cohoe 6 Oz,Rasla Flanner,$533.96,Faber Sandbatch,$515.72,134
841,Pork - Backs - Boneless,Clarence Fairbrother,$694.15,Lani Croizier,$433.18,820
842,Spinach - Frozen,Elvin Heisler,$945.43,Jerri Paslow,$941.84,222
843,Aromat Spice / Seasoning,Minetta Ingraham,$713.19,Tibold Brookton,$632.47,841
844,Cloves - Whole,Kiah Heis,$235.27,Johna Redmille,$71.76,55
845,Flour - Rye,Quentin MacKenny,$834.55,Jamaal Daen,$115.03,501
846,"Shrimp - 21/25, Peel And Deviened",Jessica Canty,$530.14,Edwin Chaffyn,$349.26,366
847,"Pasta - Tortellini, Fresh",Cherry Broadbury,$585.47,Samaria Tirrey,$736.26,595
848,"Lemonade - Mandarin, 591 Ml",Lucky Jorioz,$618.48,Drucy Spafford,$865.35,919
849,Nutmeg - Ground,Tobe Nyssen,$76.15,Aleece Abbison,$209.62,869
850,"Shrimp - 16/20, Peeled Deviened",Derby Vedishchev,$711.94,Elvira Markwell,$583.03,887
851,Beets - Mini Golden,Sigismund Gatchel,$612.02,Cad Francino,$196.01,732
852,Veal - Osso Bucco,Patricia Gaitone,$487.25,Ermentrude Blazynski,$929.25,922
853,Dill Weed - Dry,Blancha Mielnik,$461.22,Red Lambirth,$155.52,880
854,Truffle Shells - White Chocolate,Alma Pollie,$249.82,Sigfried Harmeston,$947.90,599
855,Orange - Blood,Gustavo Southers,$300.29,Gabi Pettiford,$615.56,717
856,Juice Peach Nectar,Sorcha Antonsson,$901.33,Nicola Brownill,$658.33,264
857,Wine - Magnotta - Belpaese,Alwin Barizeret,$341.64,Harriott Deary,$421.21,196
858,Bag Stand,Alfy Carryer,$790.16,Bambie Mancell,$490.67,775
859,Sea Bass - Whole,Emera Norwell,$904.29,Jeane Bolden,$301.15,94
860,Mushroom - Porcini Frozen,Walden Eloy,$937.10,Hashim Wyllie,$939.90,404
861,Wine - Coteaux Du Tricastin Ac,Gennifer Boick,$9.94,Vergil Brinson,$283.93,546
862,Wine - Delicato Merlot,Luca Powis,$511.65,Weider Bernaldez,$492.47,101
863,Lime Cordial - Roses,Bee Hundley,$182.95,Helenelizabeth Carrabott,$357.41,821
864,Chicken - Whole Fryers,Stavro Summerly,$926.07,Domeniga Novic,$659.73,102
865,"Quail - Whole, Boneless",Florry Gheorghie,$756.02,Hetty Farry,$972.11,145
866,Cookies - Amaretto,Forbes Corneille,$474.98,Vyky Wanden,$494.37,843
867,Pumpkin - Seed,Ina Copcote,$79.72,Dynah Hugk,$628.76,606
868,Bay Leaf,Libby Hazell,$886.86,Candida Croyden,$998.12,988
869,"Soup - Beef Conomme, Dry",Brit Riddoch,$33.56,Vale Ianelli,$16.24,753
870,Mini - Vol Au Vents,Lilllie Cosby,$618.00,Starlene Cooper,$155.34,285
871,Pectin,Eldon Varty,$169.31,Cassandry Slaght,$531.26,173
872,Chicken - Bones,Lorant Pottle,$107.12,Ambrosius Siebert,$641.80,97
873,"Shrimp - Baby, Cold Water",Inge Innocenti,$553.96,Margi Jochens,$328.84,146
874,Sprouts - Bean,Josefina Songer,$221.24,Ruthy Farrah,$434.71,647
875,"Pasta - Lasagna, Dry",Homer Dooney,$525.00,Eliza Hambelton,$208.76,534
876,"Soup - Knorr, Ministrone",Mathilda Loalday,$965.59,Dorothee Pearse,$189.31,778
877,Macaroons - Homestyle Two Bit,Benito Fennell,$814.68,Mufi Yanin,$538.59,790
878,Table Cloth 90x90 White,Nertie Proger,$553.85,Danella Pelz,$570.48,879
879,Muffin Mix - Lemon Cranberry,Francisca Nurden,$919.07,Lock Daniello,$798.95,805
880,Lemons,Darby Nardoni,$251.16,Hillel Mountcastle,$237.61,885
881,Cardamon Seed / Pod,Jeanna Thurlbeck,$364.86,Garner Dagworthy,$453.14,604
882,Chicken Breast Halal,Cecelia Merrisson,$566.73,Mandie Capstack,$285.74,108
883,"Pepsi - Diet, 355 Ml",Berkly Giraldez,$296.30,Lucita Knapton,$884.11,601
884,Tuna - Yellowfin,Guthry Braham,$771.27,Suzette Penelli,$303.45,938
885,Pepper - Red Thai,Lucina Clubley,$802.65,Fawnia Eginton,$424.15,888
886,Lamb Tenderloin Nz Fr,Thorsten Beelby,$111.74,Cirillo Cadalleder,$925.41,117
887,Capon - Whole,Blinny Borrett,$301.78,Nola Eldredge,$745.22,298
888,Easy Off Oven Cleaner,Opaline Struan,$498.45,Cal Waite,$979.85,367
889,Foil - Round Foil,Idaline Screen,$626.44,Herbie Balsdone,$330.72,240
890,Soup - Base Broth Beef,Alyda Shalcros,$421.49,Noam Jacqueminot,$111.34,644
891,"Red Snapper - Fresh, Whole",Cornall Emmens,$1.62,Corby Kettell,$131.13,393
892,Cup - 8oz Coffee Perforated,Lottie Gini,$418.89,Sheffield Rowbottam,$499.32,180
893,Cocoa Butter,Jeanne Munslow,$735.02,Pammy Been,$471.09,451
894,Pepper - Red Chili,Aundrea Cardall,$743.03,Hewet Pithie,$466.90,398
895,"Pail - 4l White, With Handle",Cleopatra Hinge,$287.59,Madonna Charer,$789.69,362
896,"Lamb - Shoulder, Boneless",Ruth Boldecke,$220.67,Caitrin Cordeux,$823.60,867
897,Bread Foccacia Whole,Findley Bollands,$388.88,Andra Lamey,$512.87,925
898,Sweet Pea Sprouts,Andrus Applewhaite,$309.83,Walden Canlin,$187.74,733
899,Vinegar - White Wine,Cammi Pugsley,$810.20,Winifred Legister,$691.84,553
900,Tea - Herbal Sweet Dreams,Emera Oakeshott,$868.41,Sansone Pigney,$880.32,537
901,Tofu - Firm,Val Roskruge,$210.30,Aidan Whithalgh,$442.14,367
902,Cheese - Colby,Allyn Van Oord,$592.55,Correy Dudding,$651.65,483
903,"Chocolate - Milk, Callets",Ava McAvinchey,$278.52,Mordy Everingham,$350.59,728
904,Chicken - Tenderloin,Salomi Hawk,$601.37,Kylynn Kleinhaut,$756.38,419
905,Wine - Black Tower Qr,Celinka Fagan,$308.82,Zsa zsa Studdard,$510.77,642
906,Pastry - Butterscotch Baked,Richmound Adamolli,$699.64,Chaddie Moorerud,$873.55,703
907,Scotch - Queen Anne,Concordia Stoves,$453.97,Bethena Surcomb,$113.44,702
908,Rum - Mount Gay Eclipes,Othella Conquest,$13.36,Leeann Scanes,$354.88,929
909,Cream - 18%,Cord Licence,$508.42,Carlynne Cartwright,$350.32,888
910,Praline Paste,Casper See,$290.92,Clayborn Kliemann,$657.92,995
911,Island Oasis - Lemonade,Arney Diggell,$984.37,Ody Sier,$357.74,89
912,Syrup - Pancake,Aldo Ridge,$441.47,Ravi Edelheit,$790.81,600
913,Glaze - Clear,Leon Aspell,$949.22,Concettina Hove,$222.26,37
914,"Beef - Tenderlion, Center Cut",Farand Maharg,$99.74,Vivi Lysons,$248.51,210
915,Soup - Cream Of Broccoli,Milissent Deeley,$705.40,Paulina Maguire,$239.50,80
916,Cookies - Englishbay Chochip,Timmy Davidow,$26.19,Vonni Pettit,$117.77,144
917,Gingerale - Diet - Schweppes,Joanna Rackam,$37.65,Amos Straughan,$177.12,799
918,Wine - Chateau Aqueria Tavel,Elvin Learmonth,$718.69,Elden Columbell,$955.39,31
919,"Capon - Breast, Double, Wing On",Lura Dunckley,$954.03,Anya Yedall,$676.26,456
920,Bread - Raisin Walnut Oval,Reynold Maddyson,$928.06,Hewitt Fosh,$934.82,841
921,Uniform Linen Charge,Nedi Blampey,$946.25,Joelynn Rainton,$992.46,715
922,Table Cloth 53x69 White,Courtnay Bernli,$839.11,Angelica Gosnoll,$585.90,619
