id,produto,clientes,funcionarios,vendas,estoque
882,Sausage - Chorizo,Julieta,Baird,$5.85,70
883,"Water - Mineral, Carbonated",Reinaldo,Kennan,$1.98,88
884,Ecolab - Hobart Upr Prewash Arm,Siana,Regina,$8.46,97
885,Cup - 8oz Coffee Perforated,Baily,Clarey,$2.82,28
886,Appetizer - Asian Shrimp Roll,Gage,Tadio,$8.06,96
887,Mushroom - King Eryingii,Raynell,Claresta,$1.02,17
888,Compound - Pear,Enoch,Ode,$9.20,4
889,Wine - Fino Tio Pepe Gonzalez,Sydel,Maegan,$1.73,69
890,Kellogs Cereal In A Cup,Joni,Lilias,$2.25,75
891,"Split Peas - Yellow, Dry",Lorna,Karoly,$1.80,88
892,"Marsala - Sperone, Fine, D.o.c.",Sheelagh,Jake,$4.55,80
893,French Pastries,Carmela,Lorne,$0.21,8
894,Tea - Decaf 1 Cup,Ariela,Tori,$1.43,90
895,Bread Roll Foccacia,Egor,Dorotea,$4.22,56
896,Cheese - Gouda Smoked,Bonni,Caro,$6.42,27
897,"Soup - Campbells, Creamy",Meghann,Ivonne,$6.87,36
898,Cleaner - Pine Sol,Jackie,Mychal,$3.02,2
899,Veal - Bones,Bette-ann,Clerissa,$0.73,80
900,Basil - Seedlings Cookstown,Florida,Farley,$4.58,66
901,Wine - Rhine Riesling Wolf Blass,Krissy,Adora,$5.79,94
902,Jam - Raspberry,Roxi,Benedicta,$5.88,54
903,"Wine - White, Gewurtzraminer",Tedi,Lillian,$7.18,100
904,Cake - Cake Sheet Macaroon,Drucie,Gawen,$6.86,27
905,"Beef - Rib Roast, Capless",Bord,Kippy,$3.02,38
906,Galliano,Audra,Trey,$0.81,37
907,Piping Jelly - All Colours,Danya,Crosby,$9.10,33
908,Cups 10oz Trans,Ardyth,Rolfe,$2.50,12
909,Wine - Barossa Valley Estate,Yves,Sheffield,$4.40,86
910,"Chicken - Leg, Fresh",Cash,Florri,$3.00,24
911,"Bread - Bagels, Mini",Romona,Carine,$5.18,59
912,Star Fruit,Adham,Birdie,$7.59,41
913,Spice - Greek 1 Step,Elton,Brenda,$1.72,8
914,"Bread - Rolls, Rye",Karalynn,Ealasaid,$2.31,43
915,Wine - Masi Valpolocell,Mateo,Algernon,$9.10,18
916,Table Cloth 81x81 Colour,Rance,Belicia,$0.89,18
917,"Jam - Marmalade, Orange",Alys,Trip,$8.24,96
918,Veal - Loin,Tann,Philly,$0.65,23
919,Flavouring - Raspberry,Timofei,Elianora,$9.90,97
920,Sprouts - Alfalfa,Luise,Dennie,$4.35,24
921,Tray - 16in Rnd Blk,Wendye,Annora,$7.60,73
922,Blue Curacao - Marie Brizard,Gerti,Eleanore,$8.50,28
923,Table Cloth 54x54 Colour,Alvina,Elisa,$6.33,70
924,"Mushrooms - Black, Dried",Regina,Pearl,$1.51,65
925,Garbage Bags - Black,Kory,Lurleen,$4.00,57
926,"Bread - Rolls, Corn",Jeremiah,Jasun,$3.80,22
927,Ice Cream - Turtles Stick Bar,Sam,Linoel,$0.74,14
928,Transfer Sheets,Sybil,Amandy,$5.93,83
929,Wine - Savigny - Les - Beaune,Juliana,Padriac,$0.61,36
930,"Lamb - Shoulder, Boneless",Jessamyn,Jeramie,$4.03,36
931,Beef - Striploin Aa,Fernande,Brand,$1.44,2
932,Skirt - 24 Foot,Guenevere,Helsa,$0.57,44
933,"Apple - Delicious, Red",Lindie,Joan,$8.33,90
934,Pepper - Green Thai,Pam,Sky,$4.17,86
935,Creamers - 10%,Pascal,Leona,$9.39,81
936,Tea - Jasmin Green,Valerie,Daniela,$4.75,61
937,Cheese - Brick With Onion,Mandy,Earle,$6.09,4
938,Yeast Dry - Fermipan,Guenevere,Gwenore,$7.79,61
939,Longos - Grilled Salmon With Bbq,Neville,Eadie,$4.55,23
940,Ecolab - Mikroklene 4/4 L,Amalea,Winni,$8.69,57
941,Gatorade - Lemon Lime,Binky,Korie,$5.98,57
942,Juice - Orangina,Jorry,Lenette,$0.78,67
943,Arizona - Plum Green Tea,Morris,Guillaume,$2.52,93
944,"Beef - Rouladin, Sliced",Witty,Noah,$2.39,51
945,Dawn Professionl Pot And Pan,Corri,Maurise,$0.43,51
946,Arctic Char - Fillets,Damiano,Violet,$8.15,13
947,"Coconut - Shredded, Unsweet",Greggory,Cleo,$9.03,62
948,Soup Campbells - Italian Wedding,Gael,Zacharie,$6.79,40
949,"Pepper - White, Ground",North,Gloriane,$8.50,34
950,"Beans - Kidney, Canned",Pandora,Aimil,$6.07,29
951,Horseradish - Prepared,Ingram,Lodovico,$0.51,45
952,"Wine - White, Pelee Island",Caro,Hersch,$4.31,82
953,Jolt Cola - Electric Blue,Micheline,Sybil,$1.61,20
954,Potatoes - Idaho 100 Count,Marnie,Hilary,$2.71,34
955,Beef - Tenderloin Tails,Ginny,Ermina,$0.10,72
956,Ecolab - Lime - A - Way 4/4 L,Carny,Dionis,$5.06,65
957,"Mushroom - Trumpet, Dry",Bendite,Ana,$8.95,12
958,Pears - Fiorelle,Parnell,Ruth,$8.28,57
959,Carbonated Water - Strawberry,Hodge,Eveleen,$8.25,52
960,"Appetizer - Spring Roll, Veg",Nicolai,Francklyn,$6.64,74
961,"Hickory Smoke, Liquid",Marcellina,Terrence,$5.31,81
962,Glove - Cutting,Thomasine,Kilian,$7.84,22
963,"Pepsi - Diet, 355 Ml",Grady,Shawna,$4.15,5
964,Jicama,Conway,Laird,$3.02,27
965,Jolt Cola,Casar,Richmound,$3.72,40
966,"Fish - Scallops, Cold Smoked",Erhart,Codie,$1.82,12
967,Tomatoes - Grape,Torrin,Ivan,$3.53,58
968,Nut - Pumpkin Seeds,Denny,Xena,$6.22,30
969,Pur Value,Loraine,Dillie,$8.20,18
970,"Vodka - Hot, Lnferno",Artemus,Natalee,$6.00,42
971,Sultanas,Leonelle,Rickie,$1.39,60
972,Cabbage - Red,Meg,Deloris,$1.22,46
973,Mackerel Whole Fresh,Opaline,Monroe,$7.02,56
974,Lid - 16 Oz And 32 Oz,Rowney,Cristabel,$6.19,11
975,Flour - Rye,Esra,Ellynn,$2.31,93
976,Apricots - Dried,Trenna,Mitzi,$8.12,8
977,"Ecolab - Orange Frc, Cleaner",Wheeler,Wendel,$8.73,10
978,"Bread - White, Sliced",Shanie,Cece,$4.93,21
979,"Cheese - Cheddar, Old White",Rozanna,Shena,$9.63,99
980,Eggplant - Regular,Bruis,Kipp,$6.24,19
981,Halibut - Steaks,Inna,Emilie,$8.96,76
982,Beans - Soya Bean,Corrie,Bron,$2.84,55
983,Muffin - Mix - Bran And Maple 15l,Cullie,Ekaterina,$1.69,41
984,Plastic Arrow Stir Stick,Davy,Ira,$0.09,44
985,Salt - Sea,Poul,Ted,$4.74,66
986,Tea Peppermint,Halley,Giacobo,$1.40,97
987,Tea - Herbal I Love Lemon,Ealasaid,Creigh,$1.13,17
988,Coffee - Cafe Moreno,Carmine,Maurizio,$2.62,96
989,Arizona - Green Tea,Hayes,Engelbert,$4.48,36
990,"Lettuce - Romaine, Heart",Retha,Quinlan,$5.92,100
991,Beef Dry Aged Tenderloin Aaa,Sarene,Luciano,$5.31,53
992,"Wine - Red, Harrow Estates, Cab",Luke,Miriam,$6.68,34
993,Salmon - Canned,Zack,Tamarah,$1.44,90
994,Blouse / Shirt / Sweater,Vin,Rodrigo,$5.09,36
995,Sprouts - Alfalfa,Lottie,Annabella,$1.57,87
996,Olives - Morracan Dired,Shaylah,Sherill,$4.86,99
997,Wine - Sogrape Mateus Rose,Jeremie,Jaquenetta,$5.42,75
998,Cardamon Seed / Pod,Laure,Paco,$6.42,30
999,Wine - Muscadet Sur Lie,Martie,Janek,$7.79,8
1000,Soup - Campbells Beef Noodle,Gabriella,Maurise,$0.37,22
